key_ID,monarch_name,start_of_first_reign_year,end_of_first_reign_year,start_of_second_reign_year,end_of_second_reign_year,start_of_first_reign,end_of_first_reign,start_of_second_reign,end_of_reign_two,birth_date,death_date
1,Charles_III,2022,NA,,,2022-09-08,NA,NA,NA,1948-11-14,NA
2,Elizabeth_II,1953,2022,,,1953-06-02,2022-09-08,NA,NA,1926-04-21,2022-09-08
3,George_VI,1937,1952,,,1937-05-12,1952-02-06,NA,NA,1895-12-14,1952-02-06
4,Edward_VIII,1936,1936,,,1936-01-20,1936-12-11,NA,NA,1894-06-23,1972-05-28
5,George_V,1910,1936,,,1910-05-06,1936-01-20,NA,NA,1865-06-03,1936-01-20
6,Edward_VII,1901,1910,,,1901-01-22,1910-05-06,NA,NA,1841-11-09,1910-05-06
7,Victoria,1837,1901,,,1837-06-20,1901-01-22,NA,NA,1819-05-24,1901-01-22
8,William_IV,1830,1837,,,1830-06-26,1837-06-20,NA,NA,1765-08-21,1837-06-20
9,George_IV,1820,1830,,,1820-01-29,1830-06-26,NA,NA,1762-08-12,1830-06-26
10,George_III,1760,1820,,,1760-10-24,1820-01-29,NA,NA,1738-06-04,1820-01-29
11,George_II,1727,1760,,,1727-06-11,1760-10-25,NA,NA,1683-10-30,1760-10-25
12,George_I,1714,1727,,,1714-08-01,1727-06-11,NA,NA,1660-05-28,1727-06-11
13,Anne,1702,1707,,,1702-03-08,1707-05-01,NA,NA,1665-02-06,1714-08-01
14,Mary_II,1689,1694,,,1689-02-13,1694-12-28,NA,NA,1662-04-30,1693-12-28
15,William_III,1689,1702,,,1689-02-13,1702-03-08,NA,NA,1650-11-04,1702-03-08
16,James_II,1685,1688,,,1685-02-06,1688-12-23,NA,NA,1633-10-14,1701-09-16
17,Charles_II,1660,1685,,,1660-05-29,1685-02-06,NA,NA,1630-05-29,1685-02-06
18,Richard_Cromwell,1658,1659,,,1658-09-03,1659-05-25,NA,NA,1626-10-04,1712-07-12
19,Oliver_Cromwell,1653,1658,,,1653-12-16,1658-09-03,NA,NA,1599-04-25,1658-09-03
20,Charles_I,1625,1649,,,1625-03-27,1649-01-30,NA,NA,1625-03-27,1649-01-30
21,James_I,1603,1625,,,1603-03-24,1625-03-27,NA,NA,1566-06-19,1625-03-26
22,Elizabeth_I,1558,1603,,,1558-11-17,1603-03-24,NA,NA,1533-09-07,1603-03-24
23,Philip_I,1554,1558,,,1554-07-25,1558-11-17,NA,NA,1527-05-21,1598-09-13
24,Mary_I,1553,1553,,,1553-07-19,1558-11-17,NA,NA,1516-02-18,1558-11-17
25,Lady_Jane_Grey,1553,1553,,,1553-07-10,1553-07-19,NA,NA,NA,1554-02-12
26,Edward_VI,1547,1547,,,1547-01-28,1553-07-06,NA,NA,1537-10-12,1553-07-06
27,Henry_VIII,1509,1509,,,1509-04-22,1547-01-28,NA,NA,1491-06-28,1547-01-28
28,Henry_VII,1485,1485,,,1485-08-22,1509-04-21,NA,NA,1457-01-28,1509-04-21
29,Richard_III,1483,1485,,,1483-06-26,1485-08-22,NA,NA,1452-10-02,1485-08-22
30,Edward_V,1483,1483,,,1483-04-09,1483-06-25,NA,NA,1470-11-02,NA
31,Edward_IV,1461,1470,1471,1483,1461-03-04,1470-10-03,1471-04-11,1483-04-09,1442-04-28,1483-04-09
32,Henry_VI,1442,1461,1470,1471,1442-09-01,1461-04-11,1470-10-03,1471-04-11,1421-12-06,1471-05-21
33,Henry_V,1413,1422,,,1413-03-21,1422-08-31,NA,NA,1386-09-16,1422-08-31
34,Henry_IV,1399,1413,,,1399-09-30,1413-03-20,NA,NA,NA,1413-03-20
35,Richard_II,1377,1399,,,1377-06-21,1399-09-29,NA,NA,1367-01-06,NA
36,Edward_III,1327,1377,,,1327-01-25,1377-06-21,NA,NA,1312-11-13,1377-06-21
37,Edward_II,1307,1327,,,1307-07-07,1327-01-21,NA,NA,1284-04-25,1327-09-21
38,Edward_I,1272,1307,,,1272-11-20,1307-07-07,NA,NA,NA,1307-07-07
39,Henry_III,1216,1272,,,NA,NA,NA,NA,1207-10-01,1272-11-16
40,Louis_VIII,1223,1226,,,1223-07-14,1226-11-08,NA,NA,1187-09-05,1226-11-08
41,John,1199,1216,,,NA,NA,NA,NA,NA,1216-10-19
42,Richard_I,1189,1199,,,NA,NA,NA,NA,1157-09-08,1199-04-06
43,Henry_the_Young_King,1170,1183,,,1170-06-14,1183-06-11,NA,NA,1155-02-28,1183-06-11
44,Henry_II,1154,1189,,,NA,NA,NA,NA,1133-03-05,1189-07-06
45,Matilda,1110,1125,,,1110-01-07,1125-05-23,NA,NA,NA,1167-09-10
46,Stephen,1135,1154,,,1135-12-22,1154-10-25,NA,NA,NA,1154-10-25
47,Henry_I,1100,1135,,,NA,NA,NA,NA,NA,1135-12-01
48,William_II,1087,1100,,,NA,NA,NA,NA,NA,1100-08-02
49,William_I,1066,1087,,,NA,NA,NA,NA,NA,1087-09-09
50,Edgar_Ætheling, NA,NA,,,NA,NA,NA,NA,NA,NA
